x_mm,y_mm
193.845,-1802.048
203.832,-1801.968
211.124,-1805.356
218.416,-1808.744
225.708,-1812.132
232.059,-1818.952
238.410,-1825.771
244.762,-1832.590
248.259,-1840.016
251.757,-1847.441
255.254,-1854.866
257.511,-1866.516
259.768,-1878.166
262.026,-1889.816
264.283,-1901.466
266.540,-1913.116
268.798,-1924.766
271.055,-1936.416
273.312,-1948.066
275.570,-1959.716
277.827,-1971.366
280.084,-1983.016
282.341,-1994.666
284.599,-2006.316
286.856,-2017.966
289.113,-2029.616
291.371,-2041.266
293.628,-2052.916
295.885,-2064.566
298.142,-2076.216
303.454,-2086.932
308.766,-2097.649
314.078,-2108.365
322.051,-2115.326
330.025,-2122.286
337.998,-2129.246
347.919,-2130.585
357.841,-2131.923
367.763,-2133.261
376.336,-2130.305
384.910,-2127.348
393.484,-2124.391
402.058,-2121.435
409.663,-2113.172
417.269,-2104.909
424.875,-2096.646
430.147,-2087.705
435.419,-2078.764
440.691,-2069.823
445.243,-2060.047
449.796,-2050.270
454.349,-2040.494
458.901,-2030.717
463.454,-2020.941
468.007,-2011.164
472.559,-2001.388
476.846,-1991.696
481.133,-1982.005
485.420,-1972.314
489.707,-1962.623
493.993,-1952.932
498.280,-1943.240
501.711,-1933.665
505.141,-1924.089
508.572,-1914.513
512.002,-1904.937
515.433,-1895.361
518.863,-1885.786
521.491,-1874.507
524.118,-1863.228
526.746,-1851.949
529.373,-1840.670
532.000,-1829.392
533.743,-1819.432
535.485,-1809.471
537.227,-1799.511
538.970,-1789.551
540.712,-1779.591
542.454,-1769.631
542.666,-1759.158
542.877,-1748.685
543.088,-1738.212
543.299,-1727.738
543.510,-1717.265
543.722,-1706.792
540.421,-1697.105
537.121,-1687.418
533.820,-1677.731
528.085,-1669.997
522.350,-1662.263
516.616,-1654.529
510.881,-1646.795
505.146,-1639.061
497.023,-1630.237
488.900,-1621.413
480.777,-1612.590
472.654,-1603.766
464.531,-1594.942
456.408,-1586.118
448.285,-1577.294
440.162,-1568.470
432.039,-1559.647
423.916,-1550.823
415.792,-1541.999
407.669,-1533.175
399.546,-1524.351
391.423,-1515.527
383.300,-1506.704
375.177,-1497.880
367.054,-1489.056
358.931,-1480.232
350.808,-1471.408
342.685,-1462.585
334.562,-1453.761
326.439,-1444.937
318.316,-1436.113
310.193,-1427.289
302.070,-1418.465
293.947,-1409.642
285.824,-1400.818
277.701,-1391.994
269.578,-1383.170
261.455,-1374.346
253.332,-1365.522
245.209,-1356.699
237.086,-1347.875
228.963,-1339.051
220.840,-1330.227
212.717,-1321.403
204.594,-1312.579
196.471,-1303.756
188.348,-1294.932
180.225,-1286.108
172.102,-1277.284
163.979,-1268.460
155.856,-1259.636
147.733,-1250.813
139.610,-1241.989
131.486,-1233.165
123.363,-1224.341
115.240,-1215.517
107.117,-1206.694
98.994,-1197.870
90.871,-1189.046
82.748,-1180.222
74.625,-1171.398
66.502,-1162.574
58.379,-1153.751
50.256,-1144.927
42.133,-1136.103
34.010,-1127.279
25.887,-1118.455
17.764,-1109.631
9.641,-1100.808
1.518,-1091.984
-6.605,-1083.160
-14.728,-1074.336
-22.851,-1065.512
-30.974,-1056.688
-39.097,-1047.865
-47.220,-1039.041
-55.343,-1030.217
-63.466,-1021.393
-71.589,-1012.569
-79.712,-1003.746
-87.835,-994.922
-95.958,-986.098
-104.081,-977.274
-112.204,-968.450
-120.327,-959.626
-128.450,-950.803
-136.573,-941.979
-144.696,-933.155
-152.820,-924.331
-160.943,-915.507
-169.066,-906.683
-177.189,-897.860
-185.312,-889.036
-193.435,-880.212
-201.558,-871.388
-209.681,-862.564
-217.804,-853.740
-225.927,-844.917
-234.050,-836.093
-242.173,-827.269
-250.296,-818.445
-258.419,-809.621
-266.542,-800.797
-274.665,-791.974
-282.788,-783.150
-290.911,-774.326
-299.034,-765.502
-307.157,-756.678
-315.280,-747.855
-323.403,-739.031
-331.526,-730.207
-339.649,-721.383
-347.772,-712.559
-355.895,-703.735
-364.018,-694.912
-372.141,-686.088
-380.264,-677.264
-388.387,-668.440
-396.510,-659.616
-404.633,-650.792
-412.756,-641.969
-420.879,-633.145
-429.002,-624.321
-437.126,-615.497
-445.249,-606.673
-453.372,-597.849
-461.495,-589.026
-469.618,-580.202
-477.741,-571.378
-485.864,-562.554
-493.987,-553.730
-502.110,-544.906
-510.233,-536.083
-518.356,-527.259
-526.479,-518.435
-534.602,-509.611
-542.725,-500.787
-550.848,-491.964
-558.971,-483.140
-567.094,-474.316
-575.217,-465.492
-582.730,-459.782
-590.243,-454.072
-597.756,-448.363
-605.269,-442.653
-613.738,-437.358
-622.206,-432.064
-630.674,-426.769
-639.143,-421.475
-647.611,-416.180
-658.351,-413.651
-669.091,-411.121
-679.831,-408.591
-690.571,-406.061
-701.311,-403.531
-712.754,-403.845
-724.196,-404.160
-735.639,-404.474
-747.082,-404.788
-758.525,-405.103
-768.517,-408.933
-778.509,-412.763
-788.501,-416.593
-798.493,-420.423
-808.485,-424.253
-818.477,-428.084
-826.108,-435.965
-833.739,-443.846
-841.370,-451.727
-845.787,-460.742
-850.205,-469.757
-854.623,-478.772
-859.040,-487.787
-861.426,-499.107
-863.812,-510.427
-866.198,-521.747
-868.584,-533.067
-870.970,-544.387
-873.356,-555.707
-875.742,-567.027
-878.128,-578.346
-880.514,-589.666
-882.899,-600.986
-885.285,-612.306
-887.671,-623.626
-890.057,-634.946
-892.443,-646.266
-894.829,-657.586
-897.215,-668.906
-899.601,-680.226
-903.813,-689.900
-908.025,-699.574
-912.238,-709.247
-916.450,-718.921
-924.319,-726.354
-932.188,-733.787
-940.057,-741.220
-947.927,-748.653
-956.949,-752.141
-965.972,-755.628
-974.994,-759.115
-984.017,-762.602
-993.040,-766.090
-1005.003,-766.757
-1016.967,-767.425
-1028.931,-768.093
-1040.895,-768.761
-1051.154,-765.133
-1061.413,-761.506
-1071.672,-757.878
-1081.932,-754.251
-1092.191,-750.624
-1100.896,-743.528
-1109.602,-736.433
-1118.308,-729.338
-1127.013,-722.242
-1132.021,-714.401
-1137.029,-706.559
-1142.036,-698.717
-1147.044,-690.876
-1150.681,-681.872
-1154.318,-672.867
-1157.955,-663.863
-1161.592,-654.859
-1161.562,-645.462
-1161.532,-636.065
-1161.502,-626.668
-1161.472,-617.271
-1158.774,-607.394
-1156.076,-597.517
-1153.378,-587.640
-1150.680,-577.763
-1144.954,-567.295
-1139.228,-556.827
-1133.503,-546.359
-1127.777,-535.892
-1122.051,-525.424
-1116.325,-514.956
-1110.213,-505.076
-1104.100,-495.197
-1097.988,-485.318
-1091.876,-475.438
-1085.763,-465.559
-1079.651,-455.680
-1073.539,-445.800
-1067.426,-435.921
-1061.314,-426.042
-1055.202,-416.162
-1049.089,-406.283
-1042.977,-396.404
-1036.865,-386.524
-1030.752,-376.645
-1024.640,-366.766
-1018.528,-356.886
-1012.415,-347.007
-1006.303,-337.128
-1000.190,-327.248
-994.078,-317.369
-987.966,-307.490
-981.853,-297.610
-975.741,-287.731
-969.629,-277.852
-963.516,-267.972
-957.404,-258.093
-951.292,-248.214
-945.179,-238.334
-939.067,-228.455
-931.428,-220.860
-923.788,-213.264
-916.149,-205.669
-908.510,-198.074
-900.870,-190.478
-893.231,-182.883
-885.591,-175.287
-877.017,-167.963
-868.442,-160.639
-859.868,-153.315
-851.293,-145.991
-842.719,-138.667
-834.144,-131.343
-825.015,-124.767
-815.885,-118.191
-806.756,-111.616
-797.626,-105.040
-788.497,-98.465
-779.367,-91.889
-770.238,-85.314
-761.108,-78.738
-751.308,-73.087
-741.508,-67.436
-731.707,-61.786
-721.907,-56.135
-712.106,-50.484
-702.306,-44.833
-691.937,-41.504
-681.567,-38.174
-671.198,-34.845
-660.828,-31.516
-650.458,-28.186
-640.089,-24.857
-629.719,-21.528
-619.325,-19.109
-608.931,-16.691
-598.536,-14.272
-588.142,-11.854
-577.747,-9.436
-567.353,-7.017
-555.535,-6.570
-543.718,-6.122
-531.901,-5.675
-520.084,-5.227
-508.267,-4.780
-496.449,-4.333
-484.632,-3.885
-472.815,-3.438
-460.998,-2.990
-449.181,-2.543
-437.363,-2.095
-425.543,-2.039
-413.722,-1.982
-401.901,-1.925
-390.081,-1.869
-378.260,-1.812
-366.440,-1.756
-354.619,-1.699
-342.798,-1.642
-330.978,-1.586
-319.157,-1.529
-307.336,-1.472
-295.516,-1.416
-283.695,-1.359
-271.874,-1.302
-260.054,-1.246
-248.233,-1.189
-236.413,-1.133
-224.592,-1.076
-212.771,-1.019
-200.951,-0.963
-189.130,-0.906
-177.309,-0.849
-165.489,-0.793
-153.668,-0.736
-141.848,-0.680
-130.027,-0.623
-118.206,-0.566
-106.386,-0.510
-94.565,-0.453
-82.744,-0.396
-70.924,-0.340
-59.103,-0.283
-47.283,-0.227
-35.462,-0.170
-23.641,-0.113
-11.821,-0.057
0.000,0.000
